皇帝,文件名
刘邦,liu_bang.jpg
刘恒,liu_heng.jpg
刘启,liu_qi.jpg
刘彻,liu_che.jpg
刘询,liu_xun.jpg
刘秀,liu_xiu.jpg
刘庄,liu_zhuang.jpg
刘协,liu_xie.jpg
曹丕,cao_pi.jpg
曹叡,cao_rui.jpg
刘备,liu_bei.jpg
孙权,sun_quan.jpg
司马炎,sima_yan.jpg
司马衷,sima_zhong.jpg
拓跋宏,tuoba_hong.jpg
杨坚,yang_jian.jpg
杨广,yang_guang.jpg
李渊,li_yuan.jpg
李世民,li_shimin.jpg
李治,li_zhi.jpg
李隆基,li_longji.jpg
李亨,li_heng.jpg
赵匡胤,zhao_kuangyin.jpg
赵光义,zhao_guangyi.jpg
赵恒,zhao_heng.jpg
赵祯,zhao_zhen.jpg
赵顼,zhao_xu_shenzong.jpg
赵佶,zhao_ji.jpg
赵构,zhao_gou.jpg
铁木真,tiemuzhen.jpg
忽必烈,hubilie.jpg
朱元璋,zhu_yuanzhang.jpg
朱棣,zhu_di.jpg
朱祁镇,zhu_qizhen.jpg
朱祁钰,zhu_qiyu.jpg
朱厚照,zhu_houzhao.jpg
朱厚熜,zhu_houcong.jpg
朱翊钧,zhu_yijun.jpg
朱由检,zhu_youjian.jpg
福临,fulin.jpg
玄烨,xuanye.jpg
胤禛,yinzhen.jpg
弘历,hongli.jpg
颙琰,yongyan.jpg
载湉,zaitian.jpg
